year,month,rw,female,wbho,married,age,age_dec
2019,3,11,1,0,0,28,2.8
2019,3,24.030000686645508,0,0,1,32,3.2
2019,3,16.825000762939453,1,0,1,32,3.2
2019,3,15,0,0,1,37,3.7
2019,3,NA,1,0,1,42,4.2
2019,3,20,0,0,0,23,2.3
2019,3,38.45000076293945,0,0,0,63,6.3
2019,3,20.83333396911621,1,0,1,63,6.3
2019,3,29,0,0,1,61,6.1
2019,3,43.25,0,0,1,49,4.9
2019,3,55.275001525878906,1,0,1,48,4.8
2019,3,NA,0,0,0,16,1.6
2019,3,NA,1,0,1,53,5.3
2019,3,17,0,1,0,33,3.3
2019,3,20,1,1,0,40,4
2019,3,40.384498596191406,0,1,1,35,3.5
2019,3,NA,1,1,1,29,2.9
2019,3,NA,1,0,0,26,2.6
2019,3,NA,1,0,1,34,3.4
2019,3,NA,0,0,1,34,3.4
2019,3,48.07674789428711,0,0,0,48,4.8
2019,3,38.46149826049805,1,0,1,50,5
2019,3,43.26900100708008,0,0,1,52,5.2
2019,3,12,0,0,0,21,2.1
2019,3,NA,0,0,0,19,1.9
2019,3,26.420000076293945,0,0,0,34,3.4
2019,3,NA,0,0,0,60,6
2019,3,NA,1,0,0,62,6.2
2019,3,NA,1,0,0,22,2.2
2019,3,NA,1,0,0,20,2
2019,3,103.25,0,0,0,59,5.9
2019,3,59.82222366333008,0,0,1,44,4.4
2019,3,NA,1,0,1,41,4.1
2019,3,40,0,0,0,32,3.2
2019,3,16.700000762939453,1,0,0,28,2.8
2019,3,11.220000267028809,1,0,1,55,5.5
2019,3,10,0,0,1,54,5.4
2019,3,22.5,1,0,1,36,3.6
2019,3,20.83333396911621,0,0,1,40,4
2019,3,NA,1,0,1,35,3.5
2019,3,2,0,0,1,36,3.6
2019,3,NA,0,0,0,64,6.4
2019,3,25,1,0,0,52,5.2
2019,3,25,0,0,0,60,6
2019,3,13.75,1,0,0,59,5.9
2019,3,22,1,0,1,54,5.4
2019,3,NA,0,0,1,55,5.5
2019,3,10,0,0,0,30,3
2019,3,12.5,1,0,0,36,3.6
2019,3,82.5999984741211,0,0,1,62,6.2
2019,3,NA,1,0,1,62,6.2
2019,3,25,0,0,1,56,5.6
2019,3,28.33333396911621,1,0,1,58,5.8
2019,3,24.024999618530273,0,0,0,31,3.1
2019,3,NA,1,0,0,30,3
2019,3,16,0,0,0,31,3.1
2019,3,17.5,1,0,1,58,5.8
2019,3,16,0,0,0,26,2.6
2019,3,16,1,0,0,22,2.2
2019,3,28.84000015258789,1,0,1,31,3.1
2019,3,NA,0,0,1,33,3.3
2019,3,33.650001525878906,0,0,1,55,5.5
2019,3,38.46149826049805,1,0,1,53,5.3
2019,3,13.5,0,0,0,20,2
2019,3,40.38459777832031,0,0,1,57,5.7
2019,3,32.05116653442383,1,0,1,57,5.7
2019,3,43.25,0,0,1,58,5.8
2019,3,15.625,1,0,1,55,5.5
2019,3,11,1,0,0,31,3.1
2019,3,19.649999618530273,0,0,1,41,4.1
2019,3,NA,1,0,1,35,3.5
2019,3,NA,1,0,0,64,6.4
2019,3,15,1,0,1,22,2.2
2019,3,16,0,0,1,27,2.7
2019,3,103.25,0,0,0,59,5.9
2019,3,NA,0,0,1,50,5
2019,3,NA,1,0,1,36,3.6
2019,3,13,0,0,0,19,1.9
2019,3,NA,1,0,0,16,1.6
2019,3,NA,0,0,0,35,3.5
2019,3,10.779999732971191,1,0,0,21,2.1
2019,3,NA,0,0,1,49,4.9
2019,3,NA,1,0,1,53,5.3
2019,3,15,1,0,0,19,1.9
2019,3,26.92300033569336,1,0,0,44,4.4
2019,3,7,1,0,1,56,5.6
2019,3,75.090911865234375,0,0,1,57,5.7
2019,3,19.230749130249023,0,0,0,26,2.6
2019,3,40.57777786254883,0,0,0,28,2.8
2019,3,24.024999618530273,1,0,0,28,2.8
2019,3,52.884498596191406,0,0,1,62,6.2
2019,3,NA,0,0,0,61,6.1
2019,3,12.972749710083008,1,0,1,60,6
2019,3,52.884498596191406,1,0,1,61,6.1
2019,3,NA,0,0,1,60,6
2019,3,17,1,0,1,59,5.9
2019,3,29.044445037841797,0,0,0,23,2.3
2019,3,18,1,0,1,41,4.1
2019,3,18,0,0,1,55,5.5
2019,3,NA,1,0,0,19,1.9
2019,3,25.3799991607666,0,0,1,34,3.4
2019,3,55.275001525878906,1,0,1,35,3.5
2019,3,14.399999618530273,0,0,1,39,3.9
2019,3,27,1,0,1,44,4.4
2019,3,10.5,1,0,1,21,2.1
2019,3,5.833333492279053,0,0,1,37,3.7
2019,3,7,1,0,1,35,3.5
2019,3,NA,1,0,0,39,3.9
2019,3,48.07500076293945,0,0,0,45,4.5
2019,3,27.200000762939453,0,0,0,31,3.1
2019,3,25.344999313354492,0,1,0,57,5.7
2019,3,21,0,0,1,56,5.6
2019,3,NA,1,0,1,48,4.8
2019,3,NA,1,0,0,62,6.2
2019,3,21,1,0,0,31,3.1
2019,3,23.32575035095215,1,0,1,63,6.3
2019,3,NA,0,0,1,60,6
2019,3,NA,0,0,0,42,4.2
2019,3,20,1,1,0,34,3.4
2019,3,26,0,0,0,56,5.6
2019,3,16.979999542236328,1,0,1,58,5.8
2019,3,34.61520004272461,0,0,1,53,5.3
2019,3,55.28824996948242,1,0,1,53,5.3
2019,3,13.260000228881836,1,0,0,59,5.9
2019,3,13,1,0,1,49,4.9
2019,3,42.5,0,0,1,46,4.6
2019,3,NA,0,0,0,18,1.8
2019,3,NA,0,0,0,17,1.7
2019,3,27.77777862548828,1,0,0,56,5.6
2019,3,55.275001525878906,1,0,0,45,4.5
2019,3,14,0,0,1,43,4.3
2019,3,30,1,0,1,43,4.3
2019,3,30.76919937133789,0,0,1,55,5.5
2019,3,39.215599060058594,1,0,1,55,5.5
2019,3,29,0,0,1,64,6.4
2019,3,NA,1,0,0,46,4.6
2019,3,NA,0,0,0,63,6.3
2019,3,19.230749130249023,1,0,1,57,5.7
2019,3,38.46149826049805,0,0,1,52,5.2
2019,3,NA,1,0,1,59,5.9
2019,3,46.153751373291016,1,0,0,54,5.4
2019,3,22.575000762939453,1,0,0,24,2.4
2019,3,62.099998474121094,1,0,1,51,5.1
2019,3,38.46149826049805,0,0,1,51,5.1
2019,3,12,1,0,0,23,2.3
2019,3,12,0,0,0,19,1.9
2019,3,NA,0,0,0,53,5.3
2019,3,27.8157901763916,1,0,1,51,5.1
2019,3,NA,0,0,1,54,5.4
2019,3,15,1,0,0,19,1.9
2019,3,28.059999465942383,1,0,0,57,5.7
2019,3,24,1,1,1,51,5.1
2019,3,NA,0,1,1,59,5.9
2019,3,NA,0,1,1,53,5.3
2019,3,NA,1,1,1,42,4.2
2019,3,NA,0,1,0,18,1.8
2019,3,103.25,0,1,0,40,4
2019,3,16.520000457763672,0,0,0,28,2.8
2019,3,NA,1,0,0,24,2.4
2019,3,15,0,0,0,24,2.4
2019,3,16.825000762939453,1,0,0,29,2.9
2019,3,16.825000762939453,1,0,0,28,2.8
2019,3,27.010000228881836,1,0,1,48,4.8
2019,3,18,0,0,1,50,5
2019,3,24,0,0,0,25,2.5
